id,product_id,product_name,price,shop,brand,img_url,sales,CommentCountStr,AverageScore,GoodCountStr,DefaultGoodCountStr,GoodRate,AfterCountStr,VideoCountStr,PoorCountStr,GeneralCountStr
868346405347,100497167199804,小米 Redmi Note 快充 自研芯片 游戏优化,1533.0,小米京东自营官方旗舰店,小米,//img11.360buyimg.com/n7/jfs/f3a76929d5.jpg,92343,85645,4.7,83758,73823,95.00%,14414,1022,1109,778
744533917469,100460651092599,oppo Realme Q系列 全面屏 6400万像素 快充,1759.2,realme真我京东自营官方旗舰店,oppo,//img16.360buyimg.com/n7/jfs/1eebe88b9c.jpg,81492,56692,4.7,55395,48624,95.00%,3128,927,740,557
506316356461,100619897865430,华为 P系列 无线充电 全面屏 大电池,4811.6,华为京东自营官方旗舰店,华为,//img12.360buyimg.com/n7/jfs/e0dd63a454.jpg,18926,33861,4.8,33413,29036,97.00%,1734,536,261,187
695007087890,100104608326355,华为 nova系列 快充 自研芯片,2254.5,华为京东自营官方旗舰店,华为,//img18.360buyimg.com/n7/jfs/a677f2c431.jpg,71546,68498,4.7,67731,56139,95.00%,3258,981,439,328
354888371322,100625907799392,小米 Civi系列 骁龙处理器 5G 自研芯片 1亿像素,2391.9,小米京东自营官方旗舰店,小米,//img13.360buyimg.com/n7/jfs/d76c77f3ad.jpg,45670,44462,4.7,43189,39389,95.00%,2297,418,596,677
906187805466,100250990395746,oppo K系列 高刷新率 无线充电 拍照神器,2229.9,oppo京东自营官方旗舰店,oppo,//img11.360buyimg.com/n7/jfs/131b580db7.jpg,99841,61581,4.7,59932,56825,95.00%,5542,1310,710,939
505860777138,100464217650916,oppo Realme Q系列 曲面屏 5G 全面屏 拍照神器,1506.0,realme真我京东自营官方旗舰店,oppo,//img16.360buyimg.com/n7/jfs/e19b5b516b.jpg,80059,66755,4.7,65453,62442,95.00%,6405,433,651,651
919494939776,100292514866750,荣耀 Magic系列 6400万像素 全面屏 天玑处理器 拍照神器,7199.0,荣耀京东自营官方旗舰店,荣耀,//img17.360buyimg.com/n7/jfs/a36fffc7c9.jpg,24542,30359,4.8,29902,27842,97.00%,3171,795,399,58
880468196962,100373382204794,真我 Neo系列 6400万像素 轻薄机身 曲面屏 1亿像素,1992.5,真我京东自营官方旗舰店,真我,//img15.360buyimg.com/n7/jfs/5ca908ec44.jpg,98850,54054,4.7,52221,48348,95.00%,9039,528,1484,349
437437321685,100343908167493,华为 P系列 全面屏 5G OIS光学防抖 游戏优化,4349.0,华为京东自营官方旗舰店,华为,//img20.360buyimg.com/n7/jfs/382d460b61.jpg,12441,38013,4.8,37499,33195,97.00%,2542,663,361,153
122665618966,100175124739673,真我 GT系列 骁龙处理器 游戏优化 OIS光学防抖,2537.3,真我京东自营官方旗舰店,真我,//img11.360buyimg.com/n7/jfs/11216856de.jpg,45354,47531,4.8,46254,38307,97.00%,3594,606,642,635
929809597839,100879439447197,真我 V系列 拍照神器 轻薄机身,1299.9,真我京东自营官方旗舰店,真我,//img17.360buyimg.com/n7/jfs/71b503a092.jpg,96620,70986,4.6,68172,62977,94.00%,7692,1474,1829,985
422362283096,100523373206150,oppo A系列 6400万像素 快充,1827.6,oppo京东自营官方旗舰店,oppo,//img12.360buyimg.com/n7/jfs/00101b08c6.jpg,109550,143725,4.6,142075,115588,94.00%,14035,1838,656,994
120493795910,100211524845840,vivo Y系列 天玑处理器 游戏优化 快充 全面屏,1044.0,vivo京东自营官方旗舰店,vivo,//img17.360buyimg.com/n7/jfs/b1ac2aea18.jpg,119158,195595,4.8,193161,181604,97.00%,2247,1827,1872,562
990642770073,100541229846985,荣耀 Note系列 6400万像素 OIS光学防抖 高刷新率,2473.3,荣耀京东自营官方旗舰店,荣耀,//img20.360buyimg.com/n7/jfs/2450a5305d.jpg,21281,46634,4.7,45664,40267,95.00%,1521,926,418,552
394827602140,100802472274404,荣耀 Magic系列 游戏优化 曲面屏 5G 轻薄机身,6916.9,荣耀京东自营官方旗舰店,荣耀,//img18.360buyimg.com/n7/jfs/c069b67342.jpg,32500,36977,4.8,36526,32746,97.00%,3483,763,279,172
905732021696,100759211520348,真我 数字系列 高刷新率 天玑处理器,2536.6,真我京东自营官方旗舰店,真我,//img10.360buyimg.com/n7/jfs/da413b7f9e.jpg,28218,34819,4.7,33539,30026,95.00%,2587,984,853,427
904004612208,100406129998345,真我 数字系列 天玑处理器 1亿像素 高刷新率 OIS光学防抖,2683.1,真我京东自营官方旗舰店,真我,//img13.360buyimg.com/n7/jfs/2f9579c04e.jpg,42026,52653,4.7,51272,48220,95.00%,5009,399,808,573
